DOY,RMSE_X,RMSE_Y,RMSE_Z
198.0,0.4130063084012866,0.42020099575646946,0.2191436529056957
16.0,0.41884618829160225,0.5412889378209503,0.2108286369935449
198.0,0.47351910413065085,0.3062817803242765,0.13239725054562226
16.0,0.42867422192330334,0.39246764800473916,0.1656235571201394
198.0,0.4621732105522334,0.2554966719222093,0.15992522348037136
16.0,0.3772904946397748,0.3528770355773797,0.17064799722519575
198.0,0.5120088231536789,0.37105392731367676,0.19850814558764587
16.0,0.4548873591473389,0.3361542843854097,0.2417606233906863
198.0,0.31833214545585575,0.2650514695935161,0.1759413863480916
16.0,0.39816225720934484,0.3215625494580984,0.25478549019823965
198.0,0.2727022602290992,0.2825789187210364,0.17549021303178766
16.0,0.2639823358483104,0.4051509840436838,0.2458681687869728
198.0,0.4044916888654385,0.4187307344464763,0.2171528969307552
16.0,0.31315138335674564,0.439575519143476,0.20780371922919652
198.0,0.7776327298991285,0.39340415050260086,0.23039628222156805
16.0,0.3977800413749929,0.3938932321331007,0.18197743437015032
198.0,0.4158196862434856,0.24913809444144416,0.14494826722617785
16.0,0.45216927410177077,0.26327734670272,0.21263383343179856
198.0,0.38163800725243135,0.35979977058556606,0.25385313839510626
16.0,0.33306127705323224,0.4772649968554774,0.2467576475445396
