DOY,RMSE_E,RMSE_Y,RMSE_Z
198.0,0.10305526020881396,0.18202187493603467,0.05892282784895522
16.0,0.0973497505248714,0.13300628884280852,0.044167056876194655
198.0,0.08745524848098178,0.18147274426456084,0.06987588602203094
16.0,0.07177328877313734,0.12436567053541939,0.041837215063154555
198.0,0.09148135699122799,0.17638145435303837,0.03633294324151735
16.0,0.08188902697843274,0.15005587171036208,0.026774326581363733
198.0,0.09186017751054856,0.13190276602328502,0.07274964398963478
16.0,0.08985169468624495,0.10025080487528402,0.054841997598291135
198.0,0.11962298875107977,0.12218265394112314,0.04408130896605679
16.0,0.12416846495750601,0.10367102814111559,0.03143566296622407
198.0,0.08563982516172157,0.18429519628515614,0.09505998042168591
16.0,0.07931049445839859,0.11642036109499357,0.07088606158819893
198.0,0.10610044517122852,0.17979545849351097,0.08102936808722205
16.0,0.10294690268246506,0.12300889317640937,0.06246428988645366
198.0,0.091953142889691,0.2580367901866254,0.053576820418075315
16.0,0.07227316105250563,0.1696045811427773,0.036568257421774726
198.0,0.10546307195437689,0.11753215416859604,0.050282467498543676
16.0,0.10180431059990183,0.09168830867288925,0.03305522066273335
198.0,0.09090286828826273,0.20888786897622155,0.09016222957595386
16.0,0.07977127184944756,0.13605030815322772,0.06614576992449979
